written by TR 
21.54240000 30.72910000 10.90780000 
22.77660000 31.44660000 10.96360000 
22.76640000 32.86910000 10.83460000 
21.52930000 33.57110000 10.68710000 
21.51800000 34.99620000 10.59160000 
22.75320000 35.71270000 10.60660000 
22.74270000 37.13700000 10.50320000 
97.74910000 37.84550000 10.42380000 
98.97520000 39.98660000 10.31650000 
62.27240000 65.67280000 10.30560000 
24.14820000 1.07134000 10.31940000 
25.37840000 1.79206000 10.40070000 
25.37220000 3.21762000 10.49680000 
24.13280000 3.92519000 10.52800000 
24.12280000 5.33953000 10.72710000 
25.34870000 6.05474000 10.88130000 
25.33540000 7.45490000 11.16410000 
24.09220000 8.14297000 11.29900000 
24.07710000 9.53288000 11.62860000 
25.30060000 10.24290000 11.81900000 
25.28510000 11.63800000 12.13010000 
24.04020000 12.32990000 12.23160000 
24.02640000 13.74100000 12.45540000 
25.25080000 14.45930000 12.60880000 
25.23950000 15.88130000 12.74630000 
24.00070000 16.58790000 12.68830000 
23.99500000 18.01540000 12.68830000 
25.22180000 18.73660000 12.80020000 
25.21840000 20.16240000 12.72450000 
23.99430000 20.85960000 12.48870000 
23.99650000 22.27650000 12.31850000 
25.22310000 22.99850000 12.43290000 
25.22420000 24.41390000 12.24690000 
24.00930000 25.09720000 11.92570000 
24.00950000 26.51100000 11.72740000 
25.23320000 27.23620000 11.86050000 
25.23050000 28.65160000 11.67230000 
24.01230000 29.33540000 11.36360000 
24.00560000 30.75410000 11.19980000 
25.22980000 31.47980000 11.32240000 
25.22280000 32.89840000 11.15900000 
23.99730000 33.58990000 10.90640000 
23.98780000 35.01160000 10.77210000 
25.21590000 35.73510000 10.85260000 
25.20820000 37.15540000 10.70720000 
23.97630000 37.85550000 10.52530000 
23.96750000 39.27880000 10.41080000 
25.19990000 39.99850000 10.43490000 
25.19340000 41.42060000 10.30860000 
100.20200000 42.12780000 10.20340000 
101.43100000 44.26870000 10.08230000 
64.73900000 65.67980000 10.43350000 
26.61500000 1.07892000 10.43030000 
27.84520000 1.80094000 10.50240000 
27.83890000 3.22820000 10.58170000 
26.60020000 3.93806000 10.60770000 
26.58990000 5.35523000 10.79140000 
27.81600000 6.07324000 10.93300000 
27.80210000 7.47698000 11.20200000 
26.56000000 8.16720000 11.34050000 
26.54480000 9.55778000 11.67070000 
27.76840000 10.26970000 11.85460000 
27.75280000 11.66210000 12.18070000 
26.50870000 12.35230000 12.30650000 
26.49430000 13.75900000 12.56080000 
27.71870000 14.47770000 12.71590000 
27.70640000 15.89630000 12.89280000 
26.46510000 16.60250000 12.87810000 
26.45620000 18.03030000 12.92940000 
27.68330000 18.75260000 13.04460000 
27.67570000 20.18140000 13.02270000 
26.44540000 20.88420000 12.83680000 
26.44260000 22.30700000 12.71290000 
27.66890000 23.03010000 12.83090000 
27.66480000 24.45100000 12.68330000 
26.44750000 25.13900000 12.38170000 
26.44590000 26.55470000 12.19560000 
27.66600000 27.28300000 12.34330000 
27.66170000 28.69940000 12.16180000 
26.44970000 29.38060000 11.82360000 
26.44520000 30.79670000 11.64130000 
27.66140000 31.52880000 11.79900000 
27.65660000 32.94470000 11.61640000 
26.44350000 33.62740000 11.29090000 
26.43790000 35.04480000 11.12060000 
27.65660000 35.77620000 11.25260000 
27.65360000 37.19190000 11.06990000 
26.43460000 37.88080000 10.78960000 
26.42970000 39.29940000 10.62980000 
27.65540000 40.02580000 10.70810000 
27.65390000 41.44250000 10.53340000 
26.42540000 42.14070000 10.33060000 
26.42160000 43.56180000 10.19360000 
27.65380000 44.28170000 10.21020000 
27.65230000 45.70200000 10.06570000 
