written by TR 
30.73650000 24.84890000 4.89605648 
29.50590000 25.55910000 5.17210321 
29.50780000 26.98060000 5.16333982 
30.73810000 27.69300000 5.03846154 
30.73980000 29.11460000 5.14143135 
29.50960000 29.82500000 5.42405063 
29.51160000 31.24660000 5.59493671 
30.74150000 31.95920000 5.63656280 
30.74330000 33.38070000 5.92794547 
29.51340000 34.09120000 6.20399221 
29.51550000 35.51260000 6.56110029 
30.74500000 36.22520000 6.77799416 
30.74680000 37.64630000 7.25559883 
29.51730000 38.35670000 7.50973710 
29.51930000 39.77750000 8.03554041 
30.74830000 40.48990000 8.43427459 
30.75000000 41.91040000 9.07181110 
29.52080000 42.62050000 9.27775073 
29.52260000 44.04070000 9.94157741 
30.75130000 44.75240000 10.50900682 
30.75280000 46.17210000 11.26046738 
29.52390000 46.88190000 11.38534567 
29.52550000 48.30140000 12.13242454 
30.75380000 49.01230000 12.84225901 
30.75500000 50.43140000 13.63972736 
105.77100000 51.14070000 13.65287244 
107.00100000 53.26970000 15.21275560 
31.95920000 0.00033357 7.63023369 
31.95920000 1.42018000 7.64556962 
33.19110000 2.12843000 7.28846154 
33.19120000 3.54837000 7.20959104 
31.95930000 4.25658000 7.50316456 
31.95950000 5.67650000 7.33666018 
33.19130000 6.38509000 6.92259007 
33.19160000 7.80519000 6.69255112 
31.95970000 8.51359000 6.92478092 
31.96020000 9.93376000 6.64216164 
33.19190000 10.64290000 6.21932814 
33.19250000 12.06340000 5.91918208 
31.96070000 12.77220000 6.12074002 
31.96150000 14.19280000 5.81402142 
33.19300000 14.90270000 5.43281402 
33.19380000 16.32360000 5.15457644 
31.96230000 17.03290000 5.35394352 
31.96340000 18.45400000 5.10637780 
33.19460000 19.16470000 4.80623174 
33.19560000 20.58600000 4.62220058 
31.96440000 21.29600000 4.83909445 
31.96580000 22.71740000 4.71202532 
33.19660000 23.42890000 4.52361246 
33.19780000 24.85050000 4.48636806 
31.96710000 25.56090000 4.73174294 
31.96860000 26.98250000 4.76460565 
33.19900000 27.69470000 4.70983447 
33.20030000 29.11630000 4.85223953 
31.97000000 29.82700000 5.12828627 
31.97160000 31.24860000 5.34737098 
33.20160000 31.96110000 5.44157741 
33.20290000 33.38260000 5.77896787 
31.97300000 34.09330000 6.07692308 
31.97470000 35.51460000 6.48880234 
33.20420000 36.22710000 6.74074976 
33.20550000 37.64810000 7.26874391 
31.97610000 38.35870000 7.57546251 
31.97760000 39.77950000 8.16480039 
33.20660000 40.49160000 8.57229796 
33.20790000 41.91200000 9.26679649 
31.97880000 42.62230000 9.55598832 
31.98030000 44.04240000 10.28992210 
33.20880000 44.75390000 10.83982473 
33.21000000 46.17350000 11.65481986 
31.98120000 46.88340000 11.89143135 
31.98240000 48.30270000 12.70861733 
33.21060000 49.01350000 13.37463486 
33.21160000 50.43240000 14.23563778 
31.98310000 51.14190000 14.38023369 
31.98410000 52.56050000 15.19741967 
33.21200000 53.27050000 15.93792600 
33.21270000 54.68880000 16.75073028 
108.22900000 55.39790000 16.76387537 
109.45800000 57.52550000 18.24269718 
34.42320000 0.00023936 7.00365141 
34.42320000 1.42022000 7.01679649 
35.65530000 2.12846000 6.78456670 
35.65540000 3.54851000 6.70788705 
34.42320000 4.25674000 6.88096397 
34.42340000 5.67680000 6.72103213 
